id	sign_name	sign_reading	preferred_reading	period_id	provenience_id	language_id	meaning
234	|U2.SA|	dida	1	NULL	NULL	NULL	n. a type of beer, beer ingredient
235	|USZ.SA|	dida2	1	NULL	NULL	NULL	n. a type of beer, beer ingredient
236	|ASZ.ASZ|	didli	1	NULL	NULL	NULL	adj. assorted, various; separate, individual, single
237	UM	dih2	1	NULL	NULL	NULL	
238	NIM	dih3	1	NULL	NULL	NULL	n. camel thorn
239	ASZ	dil	1	NULL	NULL	NULL	adj. single
240	ASZ	dili	1	NULL	NULL	NULL	
241	LISZ	dili2	1	NULL	NULL	NULL	n. spoon
242	DILMUN	dilmun	1	NULL	NULL	NULL	gn. Dilmun
243	DIM	dim	1	NULL	NULL	NULL	n. a vessel?
244	GIM	dim2	1	NULL	NULL	NULL	v. to build, to create
245	DIM3	dim3	1	NULL	NULL	NULL	
246	BULUG3	dim4	1	NULL	NULL	NULL	
247	DIN	din	1	NULL	NULL	NULL	n. grape
248	AN	dingir	1	NULL	NULL	NULL	n. deity
249	DIR	dir	1	NULL	NULL	NULL	
250	DIR	diri	1	NULL	NULL	NULL	n. excess, surplus; v. to go beyond, tt. surplus
251	DISZ	disz	1	NULL	NULL	NULL	n. one
252	DU	du	1	NULL	NULL	NULL	v. to go (maru)
253	HI	du10	1	NULL	NULL	NULL	adj. sweet; v. to be sweet
254	KA	du11	1	NULL	NULL	NULL	v. to speak (hamtu)
255	TUK	du12	1	NULL	NULL	NULL	v. to sing
256	TU	du2	1	NULL	NULL	NULL	v. to give birth
257	GAG	du3	1	NULL	NULL	NULL	v. to construct
258	|GIN2@n|	du5	1	NULL	NULL	NULL	
259	DU6	du6	1	NULL	NULL	NULL	v. to cover
260	UL	du7	1	NULL	NULL	NULL	to be complete, to be fitting, to butt
261	GAB	du8	1	NULL	NULL	NULL	v. release
262	DUB	dub	1	NULL	NULL	NULL	n. (clay) tablet, document; v. to heap up
263	DUB2	dub2	1	NULL	NULL	NULL	v. to tremble
264	HI	dub3	1	NULL	NULL	NULL	
265	DUG	dug	1	NULL	NULL	NULL	n. pot, tt. liquid capacity vessel
266	DUGUD	dugud	1	NULL	NULL	NULL	n. weight, cloud; adj. heavy
267	GAB	duh	1	NULL	NULL	NULL	n. bran, dregs
268	DUL	dul	1	NULL	NULL	NULL	n. tell
269	DUL3	dul3	1	NULL	NULL	NULL	
270	DUN4	dul4	1	NULL	NULL	NULL	
271	TUG5	dul5	1	NULL	NULL	NULL	
272	UR@s	dul9	1	NULL	NULL	NULL	
273	UR	dulx	1	NULL	NULL	NULL	
274	TUM	dum	1	NULL	NULL	NULL	
275	TUR	dumu	1	NULL	NULL	NULL	n. child
276	SZUL	dun	1	NULL	NULL	NULL	adj. branded ?, sunordinate ?
277	DUN4	dun4	1	NULL	NULL	NULL	
278	DUR	dur	1	NULL	NULL	NULL	n. rope
279	SZEN	dur10	1	NULL	NULL	NULL	n. a type of axe
280	KU	dur2	1	NULL	NULL	NULL	v. to sit; n. seat
281	|ANSZE.ARAD|	dur3	1	NULL	NULL	NULL	n. donkey stallion
282	SZUL	dur9	1	NULL	NULL	NULL	n. donkey stallion
283	A	duru5	1	NULL	NULL	NULL	adj. wet, moist
284	|KU.KU|	durunx	1	NULL	NULL	NULL	v. to sit
