
230	du3		U+12195	CUNEIFORM SIGN KAK
231	i3		U+1224C	CUNEIFORM SIGN NI
232	ir		U+12155	CUNEIFORM SIGN IR
233	pisan		U+120B7	CUNEIFORM SIGN GA2
233	(šita)		U+122D6	CUNEIFORM SIGN SHITA
234	(iku2)		U+120BD	CUNEIFORM SIGN GA2 TIMES ASH
235	(gahalla)		U+120D3	CUNEIFORM SIGN GA2 TIMES HAL PLUS LA
236	(gagirsu)		U+120D0	CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU
237	dagal		U+120BC	CUNEIFORM SIGN GA2 TIMES AN
239	(dan4)		U+120CA	CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU
242	(sabad2)		U+120BF	CUNEIFORM SIGN GA2 TIMES BAD
244	ganun		U+120E0	CUNEIFORM SIGN GA2 TIMES NUN
246	(munu3)		U+120C5	CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE
247	(garaš)		U+120D5	CUNEIFORM SIGN GA2 TIMES HUB2
248	dan4		U+120CB	CUNEIFORM SIGN GA2 TIMES GAN2 TENU
249	kisal		U+121A6	CUNEIFORM SIGN KISAL
250	(emedub)		U+120C6	CUNEIFORM SIGN GA2 TIMES DUB
250d	(me7)		U+120D9	CUNEIFORM SIGN GA2 TIMES KASKAL
250i	(išhuru5)		U+120D7	CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH
251	(am4)		U+120D8	CUNEIFORM SIGN GA2 TIMES KAK
251	(galilla)		U+120DB	CUNEIFORM SIGN GA2 TIMES KID PLUS LAL
252	sila4		U+120E2	CUNEIFORM SIGN GA2 TIMES PA
252	(emedub2)		U+120E7	CUNEIFORM SIGN GA2 TIMES SHID
255	ur3		U+120E1	CUNEIFORM SIGN GA2 TIMES NUN OVER NUN
255	(dan3)		U+120E9	CUNEIFORM SIGN GA2 TIMES TAK4
256	gagia		U+120CE	CUNEIFORM SIGN GA2 TIMES GI4
259	(gaburra)		U+120C2	CUNEIFORM SIGN GA2 TIMES BUR PLUS RA
260	(sabad3)		U+120D6	CUNEIFORM SIGN GA2 TIMES IGI GUNU
261	esag2		U+120E5	CUNEIFORM SIGN GA2 TIMES SHE
262	(erim4)		U+120EB	CUNEIFORM SIGN GA2 TIMES UD
263	(gahili)		U+120D4	CUNEIFORM SIGN GA2 TIMES HI PLUS LI
264	(sabad)		U+120EA	CUNEIFORM SIGN GA2 TIMES U
265	itima		U+120DF	CUNEIFORM SIGN GA2 TIMES MI
269	(gazag)		U+120DC	CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN
270	men		U+120DE	CUNEIFORM SIGN GA2 TIMES ME PLUS EN
271	arhuš		U+120E3	CUNEIFORM SIGN GA2 TIMES SAL
273	(edakua)		U+120B8	CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA
277	(halubba)		U+120D1	CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2
278	galga		U+120CC	CUNEIFORM SIGN GA2 TIMES GAR
280	dag		U+12056	CUNEIFORM SIGN DAG
281	utua2			(U+12056 DAG plus U+121A8 KISIM5)
281a	kiši8		U+1205E	CUNEIFORM SIGN DAG KISIM5 TIMES GIR2
283	zibin		U+1206B	CUNEIFORM SIGN DAG KISIM5 TIMES TAK4
284	kiši7		U+1205D	CUNEIFORM SIGN DAG KISIM5 TIMES GI
286	šurun4		U+12068	CUNEIFORM SIGN DAG KISIM5 TIMES NE
287	udul6		U+1206D	CUNEIFORM SIGN DAG KISIM5 TIMES USH
289	utul5		U+1205F	CUNEIFORM SIGN DAG KISIM5 TIMES GUD
290	kiši9		U+1206C	CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2
291	agan2		U+1205B	CUNEIFORM SIGN DAG KISIM5 TIMES GA
292	šaran		U+12059	CUNEIFORM SIGN DAG KISIM5 TIMES BALAG
293	amaš		U+12066	CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2
295	pa		U+1227A	CUNEIFORM SIGN PA
295	banmin		U+12450	CUNEIFORM NUMERIC SIGN TWO BAN2
295a	garsu			(U+1227A PA plus U+122E2 SU)
295b	garza			(U+1227A PA plus U+1202D AN)
295b'	zilulu			(U+1227A PA plus U+12347 URU TIMES MIN)
295c	rig7			(U+1227A PA plus U+12138 HUB2 plus U+1207A DU)
295c'	garza2			(U+1227A PA plus U+12217 LUGAL)
295d	maškim			(U+1227A PA plus U+1207D DU SHESHIG)
295e	maškim2			(U+1227A PA plus U+1207C DU GUNU)
295f	šabra			(U+1227A PA plus U+12020 AL)
295k	šab			(U+1227A PA plus U+12141 IB)
295l	enšada			(U+1227A PA plus U+12306 TUG2)
295m	sipa			(U+1227A PA plus U+121FB LU)
296	giš		U+12111	CUNEIFORM SIGN GISH
296	(guru17)		U+12115	CUNEIFORM SIGN GISH TENU
297	gud		U+1211E	CUNEIFORM SIGN GUD
298	al		U+12020	CUNEIFORM SIGN AL
300	(hibis2)		U+12028	CUNEIFORM SIGN AL TIMES USH
301	(gišbar)		U+12023	CUNEIFORM SIGN AL TIMES GISH
302	(lidim?)		U+12022	CUNEIFORM SIGN AL TIMES DIM2
305	(hibira)		U+12024	CUNEIFORM SIGN AL TIMES HA
306	ub		U+12312	CUNEIFORM SIGN UB
307	mar		U+12225	CUNEIFORM SIGN MAR
308	e		U+1208A	CUNEIFORM SIGN E
308a	(hilibu)		U+1208C	CUNEIFORM SIGN E OVER E NUN OVER NUN
309	bahar2		U+12043	CUNEIFORM SIGN BAHAR2
309	dug		U+12081	CUNEIFORM SIGN DUG
311	(gurun)		U+12127	CUNEIFORM SIGN GURUN
312	kalam		U+12326	CUNEIFORM SIGN UN
313	lil2		U+121A4	CUNEIFORM SIGN KID
314	mez		U+12229	CUNEIFORM SIGN MES
314	šita5		U+122C3	CUNEIFORM SIGN SHID
315	eme2			(U+1231D UM plus U+12228 ME)
315*	(emeda3)		U+1231F	CUNEIFORM SIGN UM TIMES ME PLUS DA
317	pisan3		U+122C4	CUNEIFORM SIGN SHID TIMES A
318	(uzug3)		U+122A2	CUNEIFORM SIGN SAG TIMES U2
318	kuš3		U+12311	CUNEIFORM SIGN U2
319	ga		U+120B5	CUNEIFORM SIGN GA
319a	ga-raš			(U+120B5 GA plus U+1219C KASKAL)
320	il2		U+1214D	CUNEIFORM SIGN IL2
321	luh		U+1221B	CUNEIFORM SIGN LUH
322	guruš		U+12128	CUNEIFORM SIGN GURUSH
322	kal		U+12197	CUNEIFORM SIGN KAL
323	alad3		U+12198	CUNEIFORM SIGN KAL TIMES BAD
324	e2		U+1208D	CUNEIFORM SIGN E2
325	nir		U+1226A	CUNEIFORM SIGN NUN OVER NUN
326	gi4		U+12104	CUNEIFORM SIGN GI4
326a	gigi		U+12106	CUNEIFORM SIGN GI4 CROSSING GI4
327	(usan2)		U+1211D	CUNEIFORM SIGN GU2 GUNU
328	ra		U+1228F	CUNEIFORM SIGN RA
329	šur2		U+122A8	CUNEIFORM SIGN SAG GUNU
330	lu2		U+121FD	CUNEIFORM SIGN LU2
330	(du14)		U+1220C	CUNEIFORM SIGN LU2 TIMES NE
330	(adamen)		U+12213	CUNEIFORM SIGN LU2 OPPOSING LU2
331	šeš		U+122C0	CUNEIFORM SIGN SHESH
331	uru3		U+12336	CUNEIFORM SIGN URI3
332	zag		U+12360	CUNEIFORM SIGN ZAG
333	gar3		U+120FC	CUNEIFORM SIGN GAR3
334	a2		U+12009	CUNEIFORM SIGN A2
335	da		U+12055	CUNEIFORM SIGN DA
336	lil		U+121F8	CUNEIFORM SIGN LIL
337	nisag		U+12260	CUNEIFORM SIGN NISAG
337	murub4		U+12318	CUNEIFORM SIGN UD TIMES U PLUS U PLUS U GUNU
338	simug		U+12323	CUNEIFORM SIGN UMUM
338	de2		U+12324	CUNEIFORM SIGN UMUM TIMES KASKAL
339	aš2		U+1203E	CUNEIFORM SIGN ASH2
339	ziz2		U+12369	CUNEIFORM SIGN ZIZ2
339	baneš		U+12451	CUNEIFORM NUMERIC SIGN THREE BAN2
340	(banlimmu)		U+12452	CUNEIFORM NUMERIC SIGN FOUR BAN2
341	(bania)		U+12454	CUNEIFORM NUMERIC SIGN FIVE BAN2
342	ma		U+12220	CUNEIFORM SIGN MA
343	gal		U+120F2	CUNEIFORM SIGN GAL
344	bara2		U+12048	CUNEIFORM SIGN BARA2
345	lu3		U+12216	CUNEIFORM SIGN LU3
346	peš		U+1212B	CUNEIFORM SIGN HA GUNU
347	aga		U+12087	CUNEIFORM SIGN DUN3 GUNU GUNU
348	nigir2		U+12088	CUNEIFORM SIGN DUN4
349	bur		U+12053	CUNEIFORM SIGN BUR
350	gašan		U+120FD	CUNEIFORM SIGN GASHAN
351	sig7		U+1214A	CUNEIFORM SIGN IGI GUNU
352	balag		U+12046	CUNEIFORM SIGN BALAG
352	dub2		U+12080	CUNEIFORM SIGN DUB2
353	ša		U+122AD	CUNEIFORM SIGN SHA
354	šu		U+122D7	CUNEIFORM SIGN SHU
354a	kad4		U+12192	CUNEIFORM SIGN KAD4
354b	kad5		U+12193	CUNEIFORM SIGN KAD5
355	nar		U+1221C	CUNEIFORM SIGN LUL
356	gišimmar		U+122B7	CUNEIFORM SIGN SHA6
358	alan		U+12029	CUNEIFORM SIGN ALAN
359	uri		U+12335	CUNEIFORM SIGN URI
362	gam		U+120F5	CUNEIFORM SIGN GAM
362	 : 		U+12472	CUNEIFORM PUNCTUATION SIGN DIAGONAL COLON
